,is_quote_status,retweet_count,favorite_count,is-spam,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,is_replying_to_others,is_quoting_status,hashtag_count,user_mention_count,media_count,has_symbols,has_url,user_is_regular_translator,user_profile_background_color_r,user_profile_background_color_g,user_profile_background_color_b,user_profile_link_color_r,user_profile_link_color_g,user_profile_link_color_b,user_profile_sidebar_border_color_r,user_profile_sidebar_border_color_g,user_profile_sidebar_border_color_b,user_profile_sidebar_fill_color_r,user_profile_sidebar_fill_color_g,user_profile_sidebar_fill_color_b,user_profile_text_color_r,user_profile_text_color_g,user_profile_text_color_b,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9
4010,False,0,0,0,5204,1065,100,322676,True,False,180424,False,False,True,True,False,False,1.0,0.0,0,1,0,0.0,0.0,0.0,19,21,22,17,17,17,0,0,0,0,0,0,0,0,0,-0.2207052689720163,-0.3881623298863114,1.4264780140129587,0.5476342882198679,-0.13477304826393574,0.9424493125717069,1.1146691945450882,0.9729726876626217,-1.9531313742131755,-1.6489251073809024
4011,False,7,0,0,1990,4949,58,116727,True,False,56335,False,False,False,True,False,False,0.0,0.0,0,1,0,0.0,1.0,0.0,0,0,0,152,28,235,0,0,0,0,0,0,0,0,0,0.32032221444014763,-0.07001110565299144,2.2239211161434334,0.6579364811412295,-0.6114224950082829,0.9057435340006219,1.6027247397837936,1.3152005629621475,-3.1040201983409283,-2.355741874604429
4012,False,92,0,0,579,479,2,85019,False,False,56611,False,False,True,True,True,False,0.0,0.0,2,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.0636979172433659,-0.2200209989001925,0.9581384458108984,0.3552832510928028,-0.06331689962493156,0.7619583061311096,0.7475322661550715,0.6082571009925329,-1.3303945215962485,-1.0394492263244612
4013,False,6,0,0,232,923,3,43776,False,False,27901,False,False,True,True,True,False,0.0,0.0,0,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.22221651659763153,-0.4757774824344892,2.2145368532119565,0.6438756313149259,-0.43299853832523044,1.3336780916661533,1.6683594614711712,1.1882906433513736,-2.9190102316714,-2.5474848861485877
4014,False,0,0,0,24,27,0,16,False,False,44,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.24538407730198367,-0.45436781147809624,2.068286684523199,0.9932589516163786,-0.2311674929490585,1.7643445419065122,1.3337636613225332,1.385094581266784,-2.8416144878420138,-2.439113868058937
4015,False,0,0,0,238,4,3,4386,False,False,281231,False,False,False,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,27,149,224,0,0,0,0,0,0,0,0,0,-0.16577213376122674,-0.21688875054589613,1.2580908279546419,0.28411343404062134,-0.24936625302961787,0.6953554413617471,1.171932477491169,0.5439342260378833,-1.8004564545828567,-1.447678093487644
4016,False,0,1,0,1367,739,6,21367,True,False,83870,False,True,True,True,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,26,27,31,171,184,194,24,26,30,37,36,41,102,102,102,-0.1381008860140819,-0.27921037274104754,2.3954601651912117,0.5609077976502693,-0.4494586431137516,1.1345806740071194,2.0453428834970047,1.0033150705315594,-3.170390588385137,-2.3837173510299325
4017,False,132,0,0,285,275,3,68055,True,False,60357,False,False,True,True,True,False,0.0,0.0,0,2,0,0.0,0.0,0.0,192,222,237,29,161,242,192,222,237,221,238,246,51,51,51,-0.3638923069508245,-0.4717810017053605,2.6309237579642626,0.9295211317372101,-0.417741326304705,1.74529339495535,2.0721675410736053,1.3143633039929092,-3.705496728146536,-2.9833709701072624
4018,False,0,0,0,122,685,0,7334,False,False,4138,False,False,True,True,True,False,0.0,0.0,0,0,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.1887299263355455,-0.5509504105300327,2.115157481495103,0.9521505670355486,-0.2503918109051829,1.74065913777146,1.6071654313048767,1.4520032617329441,-2.985897731374391,-2.646718019939013
4019,False,0,0,0,5,63,0,145,False,False,64,False,False,True,True,True,False,1.0,0.0,0,2,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.2526338662719345,-0.7067304374601078,3.6493060325802897,1.3848871601579593,-0.3699916362820742,2.475763386252684,3.0268796637415436,2.319530050196365,-5.2221853710094415,-4.309252727092966
