,is_quote_status,retweet_count,favorite_count,is-spam,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,is_replying_to_others,is_quoting_status,hashtag_count,user_mention_count,media_count,has_symbols,has_url,user_is_regular_translator,user_profile_background_color_r,user_profile_background_color_g,user_profile_background_color_b,user_profile_link_color_r,user_profile_link_color_g,user_profile_link_color_b,user_profile_sidebar_border_color_r,user_profile_sidebar_border_color_g,user_profile_sidebar_border_color_b,user_profile_sidebar_fill_color_r,user_profile_sidebar_fill_color_g,user_profile_sidebar_fill_color_b,user_profile_text_color_r,user_profile_text_color_g,user_profile_text_color_b
23,False,517,0,0,665,1048,19,66181,True,False,87327,False,False,False,True,False,False,0.0,0.0,3,1,0,0.0,0.0,1.0,0,0,0,77,91,183,0,0,0,0,0,0,0,0,0
24,False,41,0,0,44,328,1,35299,False,False,9729,False,False,False,False,False,False,0.0,0.0,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,False,2255,0,0,106,104,0,2614,False,False,2108,False,False,True,True,True,False,0.0,0.0,1,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
26,False,3365,0,0,38,48,0,854,False,False,378,False,False,True,False,True,False,0.0,0.0,1,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
27,False,8,0,0,71,447,1,72014,False,False,14293,False,False,True,True,True,False,0.0,0.0,0,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
28,False,8,0,0,136,1345,4,104684,True,False,31046,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,192,222,237,29,161,242,192,222,237,221,238,246,51,51,51
29,False,1,0,0,1656,775,0,93784,False,False,66403,False,False,False,True,False,False,0.0,0.0,2,1,1,0.0,0.0,0.0,0,0,0,238,180,180,0,0,0,0,0,0,0,0,0
30,False,0,0,0,27,38,1,364,False,False,168,False,False,True,True,True,False,0.0,0.0,0,0,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
31,False,5,0,0,365,310,6,33221,False,False,7209,False,False,True,True,True,False,0.0,0.0,3,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
32,False,1977,0,0,89,227,4,50913,False,False,21710,False,False,True,True,True,False,0.0,0.0,4,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
33,False,945,0,0,21,359,2,41421,False,False,4588,False,False,True,True,True,False,0.0,0.0,6,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
